scenario,question_no,condition,repeat,expected,verdict,correct,seconds,prompt_tokens,rule_verdict
1_compliant,1,rules,0,Pass,Pass,True,0,,Pass
1_compliant,2,rules,0,Pass,Pass,True,0,,Pass
1_compliant,3,rules,0,Pass,Pass,True,0,,Pass
1_compliant,4,rules,0,Pass,Pass,True,0,,Pass
1_compliant,5,rules,0,Pass,Pass,True,0,,Pass
2_non_compliant,1,rules,0,Fail,Fail,True,0,,Fail
2_non_compliant,2,rules,0,Fail,Fail,True,0,,Fail
2_non_compliant,3,rules,0,Fail,Fail,True,0,,Fail
2_non_compliant,4,rules,0,Fail,Fail,True,0,,Fail
2_non_compliant,5,rules,0,Fail,Fail,True,0,,Fail
3_tampered,1,rules,0,Flag,Flag,True,0,,Flag
3_tampered,2,rules,0,Flag,Flag,True,0,,Flag
3_tampered,3,rules,0,Flag,Flag,True,0,,Flag
3_tampered,4,rules,0,Flag,Flag,True,0,,Flag
3_tampered,5,rules,0,Flag,Flag,True,0,,Flag
4_rules_blind_spot,1,rules,0,Fail,Pass,False,0,,Pass
4_rules_blind_spot,2,rules,0,Fail,Pass,False,0,,Pass
4_rules_blind_spot,3,rules,0,Pass,Pass,True,0,,Pass
4_rules_blind_spot,4,rules,0,Flag,Pass,False,0,,Pass
4_rules_blind_spot,5,rules,0,Flag,Pass,False,0,,Pass
5_original_demo,1,rules,0,Fail,Fail,True,0,,Fail
5_original_demo,2,rules,0,Flag,Flag,True,0,,Flag
5_original_demo,3,rules,0,Flag,Flag,True,0,,Flag
5_original_demo,4,rules,0,Flag,Flag,True,0,,Flag
5_original_demo,5,rules,0,Flag,Flag,True,0,,Flag
