scenario,question_no,condition,repeat,expected,verdict,correct,seconds,prompt_tokens,rule_verdict
1_compliant,1,rules,0,Pass,Pass,True,0,,Pass
1_compliant,1,llm_blind,1,Pass,Pass,True,235.6,5972,Pass
1_compliant,1,llm_blind,2,Pass,Pass,True,115.4,5972,Pass
1_compliant,1,llm_blind,3,Pass,Pass,True,70.2,5972,Pass
1_compliant,1,llm_hints,1,Pass,Pass,True,120.4,6044,Pass
1_compliant,1,llm_hints,2,Pass,Pass,True,122.7,6044,Pass
1_compliant,1,llm_hints,3,Pass,Pass,True,109.6,6044,Pass
1_compliant,2,rules,0,Pass,Pass,True,0,,Pass
1_compliant,2,llm_blind,1,Pass,Pass,True,39.0,739,Pass
1_compliant,2,llm_blind,2,Pass,Pass,True,51.6,739,Pass
1_compliant,2,llm_blind,3,Pass,Pass,True,41.9,739,Pass
1_compliant,2,llm_hints,1,Pass,Pass,True,37.0,789,Pass
1_compliant,2,llm_hints,2,Pass,Pass,True,38.9,789,Pass
1_compliant,2,llm_hints,3,Pass,Pass,True,30.3,789,Pass
1_compliant,3,rules,0,Pass,Pass,True,0,,Pass
1_compliant,3,llm_blind,1,Pass,Pass,True,42.7,796,Pass
1_compliant,3,llm_blind,2,Pass,Pass,True,33.1,796,Pass
1_compliant,3,llm_blind,3,Pass,Pass,True,42.5,796,Pass
1_compliant,3,llm_hints,1,Pass,Pass,True,37.4,902,Pass
1_compliant,3,llm_hints,2,Pass,Pass,True,37.7,902,Pass
1_compliant,3,llm_hints,3,Pass,Pass,True,43.8,902,Pass
1_compliant,4,rules,0,Pass,Pass,True,0,,Pass
1_compliant,4,llm_blind,1,Pass,Pass,True,50.8,650,Pass
1_compliant,4,llm_blind,2,Pass,Pass,True,43.6,650,Pass
1_compliant,4,llm_blind,3,Pass,Pass,True,36.8,650,Pass
1_compliant,4,llm_hints,1,Pass,Pass,True,37.4,739,Pass
1_compliant,4,llm_hints,2,Pass,Flag,False,56.9,739,Pass
1_compliant,4,llm_hints,3,Pass,Pass,True,39.1,739,Pass
1_compliant,5,rules,0,Pass,Pass,True,0,,Pass
1_compliant,5,llm_blind,1,Pass,Pass,True,26.4,689,Pass
1_compliant,5,llm_blind,2,Pass,Pass,True,14.8,689,Pass
1_compliant,5,llm_blind,3,Pass,Pass,True,23.0,689,Pass
1_compliant,5,llm_hints,1,Pass,Pass,True,26.9,741,Pass
1_compliant,5,llm_hints,2,Pass,Pass,True,25.5,741,Pass
1_compliant,5,llm_hints,3,Pass,Pass,True,21.5,741,Pass
2_non_compliant,1,rules,0,Fail,Fail,True,0,,Fail
2_non_compliant,1,llm_blind,1,Fail,Flag,False,245.4,5869,Fail
2_non_compliant,1,llm_blind,2,Fail,Flag,False,192.2,5869,Fail
2_non_compliant,1,llm_blind,3,Fail,Flag,False,122.5,5869,Fail
2_non_compliant,1,llm_hints,1,Fail,Fail,True,146.8,6220,Fail
2_non_compliant,1,llm_hints,2,Fail,Fail,True,111.5,6220,Fail
2_non_compliant,1,llm_hints,3,Fail,Fail,True,162.5,6220,Fail
2_non_compliant,2,rules,0,Fail,Fail,True,0,,Fail
2_non_compliant,2,llm_blind,1,Fail,Flag,False,51.8,715,Fail
2_non_compliant,2,llm_blind,2,Fail,Flag,False,32.0,715,Fail
2_non_compliant,2,llm_blind,3,Fail,Flag,False,50.7,715,Fail
2_non_compliant,2,llm_hints,1,Fail,Flag,False,36.6,845,Fail
2_non_compliant,2,llm_hints,2,Fail,Fail,True,52.4,845,Fail
2_non_compliant,2,llm_hints,3,Fail,Fail,True,34.1,845,Fail
2_non_compliant,3,rules,0,Fail,Fail,True,0,,Fail
2_non_compliant,3,llm_blind,1,Fail,Pass,False,42.2,713,Fail
2_non_compliant,3,llm_blind,2,Fail,Flag,False,33.3,713,Fail
2_non_compliant,3,llm_blind,3,Fail,Flag,False,38.6,713,Fail
2_non_compliant,3,llm_hints,1,Fail,Fail,True,35.1,819,Fail
2_non_compliant,3,llm_hints,2,Fail,Flag,False,36.7,819,Fail
2_non_compliant,3,llm_hints,3,Fail,Flag,False,39.0,819,Fail
2_non_compliant,4,rules,0,Fail,Fail,True,0,,Fail
2_non_compliant,4,llm_blind,1,Fail,Flag,False,22.9,365,Fail
2_non_compliant,4,llm_blind,2,Fail,Flag,False,36.3,365,Fail
2_non_compliant,4,llm_blind,3,Fail,Flag,False,23.7,365,Fail
2_non_compliant,4,llm_hints,1,Fail,Fail,True,21.1,408,Fail
2_non_compliant,4,llm_hints,2,Fail,Fail,True,18.9,408,Fail
2_non_compliant,4,llm_hints,3,Fail,Fail,True,19.9,408,Fail
2_non_compliant,5,rules,0,Fail,Fail,True,0,,Fail
2_non_compliant,5,llm_blind,1,Fail,Fail,True,23.2,589,Fail
2_non_compliant,5,llm_blind,2,Fail,Fail,True,21.0,589,Fail
2_non_compliant,5,llm_blind,3,Fail,Fail,True,19.8,589,Fail
2_non_compliant,5,llm_hints,1,Fail,Fail,True,27.3,658,Fail
2_non_compliant,5,llm_hints,2,Fail,Fail,True,23.3,658,Fail
2_non_compliant,5,llm_hints,3,Fail,Fail,True,27.5,658,Fail
3_tampered,1,rules,0,Flag,Flag,True,0,,Flag
3_tampered,1,llm_blind,1,Flag,Pass,False,127.1,5972,Flag
3_tampered,1,llm_blind,2,Flag,Pass,False,127.5,5972,Flag
3_tampered,1,llm_blind,3,Flag,Pass,False,81.2,5972,Flag
3_tampered,1,llm_hints,1,Flag,Flag,True,204.8,6161,Flag
3_tampered,1,llm_hints,2,Flag,Flag,True,164.3,6161,Flag
3_tampered,1,llm_hints,3,Flag,Flag,True,169.8,6161,Flag
3_tampered,2,rules,0,Flag,Flag,True,0,,Flag
3_tampered,2,llm_blind,1,Flag,Pass,False,32.3,739,Flag
3_tampered,2,llm_blind,2,Flag,Pass,False,20.2,739,Flag
3_tampered,2,llm_blind,3,Flag,Pass,False,20.5,739,Flag
3_tampered,2,llm_hints,1,Flag,Flag,True,53.1,834,Flag
3_tampered,2,llm_hints,2,Flag,Flag,True,32.5,834,Flag
3_tampered,2,llm_hints,3,Flag,Flag,True,39.2,834,Flag
3_tampered,3,rules,0,Flag,Flag,True,0,,Flag
3_tampered,3,llm_blind,1,Flag,Pass,False,32.0,797,Flag
3_tampered,3,llm_blind,2,Flag,Pass,False,28.9,797,Flag
3_tampered,3,llm_blind,3,Flag,Pass,False,25.7,797,Flag
3_tampered,3,llm_hints,1,Flag,Flag,True,55.8,935,Flag
3_tampered,3,llm_hints,2,Flag,Flag,True,38.5,935,Flag
3_tampered,3,llm_hints,3,Flag,Flag,True,47.6,935,Flag
3_tampered,4,rules,0,Flag,Flag,True,0,,Flag
3_tampered,4,llm_blind,1,Flag,Flag,True,40.8,628,Flag
3_tampered,4,llm_blind,2,Flag,Flag,True,39.1,628,Flag
3_tampered,4,llm_blind,3,Flag,Flag,True,48.5,628,Flag
3_tampered,4,llm_hints,1,Flag,Flag,True,43.4,755,Flag
3_tampered,4,llm_hints,2,Flag,Flag,True,45.2,755,Flag
3_tampered,4,llm_hints,3,Flag,Flag,True,34.4,755,Flag
3_tampered,5,rules,0,Flag,Flag,True,0,,Flag
3_tampered,5,llm_blind,1,Flag,Pass,False,21.0,689,Flag
3_tampered,5,llm_blind,2,Flag,Pass,False,19.1,689,Flag
3_tampered,5,llm_blind,3,Flag,Pass,False,11.5,689,Flag
3_tampered,5,llm_hints,1,Flag,Flag,True,42.2,798,Flag
3_tampered,5,llm_hints,2,Flag,Flag,True,40.1,798,Flag
3_tampered,5,llm_hints,3,Flag,Flag,True,40.5,798,Flag
4_rules_blind_spot,1,rules,0,Fail,Pass,False,0,,Pass
4_rules_blind_spot,1,llm_blind,1,Fail,Pass,False,184.6,5954,Pass
4_rules_blind_spot,1,llm_blind,2,Fail,Pass,False,65.0,5954,Pass
4_rules_blind_spot,1,llm_blind,3,Fail,Pass,False,94.2,5954,Pass
4_rules_blind_spot,1,llm_hints,1,Fail,Pass,False,108.4,6026,Pass
4_rules_blind_spot,1,llm_hints,2,Fail,Pass,False,87.1,6026,Pass
4_rules_blind_spot,1,llm_hints,3,Fail,Pass,False,82.4,6026,Pass
4_rules_blind_spot,2,rules,0,Fail,Pass,False,0,,Pass
4_rules_blind_spot,2,llm_blind,1,Fail,Flag,False,37.9,789,Pass
4_rules_blind_spot,2,llm_blind,2,Fail,Flag,False,51.0,789,Pass
4_rules_blind_spot,2,llm_blind,3,Fail,Flag,False,42.9,789,Pass
4_rules_blind_spot,2,llm_hints,1,Fail,Flag,False,44.3,839,Pass
4_rules_blind_spot,2,llm_hints,2,Fail,Flag,False,41.3,839,Pass
4_rules_blind_spot,2,llm_hints,3,Fail,Flag,False,46.4,839,Pass
4_rules_blind_spot,3,rules,0,Pass,Pass,True,0,,Pass
4_rules_blind_spot,3,llm_blind,1,Pass,Pass,True,30.3,796,Pass
4_rules_blind_spot,3,llm_blind,2,Pass,Pass,True,24.6,796,Pass
4_rules_blind_spot,3,llm_blind,3,Pass,Pass,True,25.4,796,Pass
4_rules_blind_spot,3,llm_hints,1,Pass,Pass,True,28.6,902,Pass
4_rules_blind_spot,3,llm_hints,2,Pass,Pass,True,32.6,902,Pass
4_rules_blind_spot,3,llm_hints,3,Pass,Pass,True,25.5,902,Pass
4_rules_blind_spot,4,rules,0,Flag,Pass,False,0,,Pass
4_rules_blind_spot,4,llm_blind,1,Flag,Flag,True,36.0,656,Pass
4_rules_blind_spot,4,llm_blind,2,Flag,Flag,True,33.4,656,Pass
4_rules_blind_spot,4,llm_blind,3,Flag,Flag,True,28.8,656,Pass
4_rules_blind_spot,4,llm_hints,1,Flag,Flag,True,48.7,745,Pass
4_rules_blind_spot,4,llm_hints,2,Flag,Flag,True,54.8,745,Pass
4_rules_blind_spot,4,llm_hints,3,Flag,Flag,True,48.7,745,Pass
4_rules_blind_spot,5,rules,0,Flag,Pass,False,0,,Pass
4_rules_blind_spot,5,llm_blind,1,Flag,Flag,True,28.3,609,Pass
4_rules_blind_spot,5,llm_blind,2,Flag,Flag,True,17.2,609,Pass
4_rules_blind_spot,5,llm_blind,3,Flag,Flag,True,22.7,609,Pass
4_rules_blind_spot,5,llm_hints,1,Flag,Flag,True,26.8,661,Pass
4_rules_blind_spot,5,llm_hints,2,Flag,Flag,True,29.4,661,Pass
4_rules_blind_spot,5,llm_hints,3,Flag,Flag,True,25.9,661,Pass
5_original_demo,1,rules,0,Fail,Fail,True,0,,Fail
5_original_demo,1,llm_blind,1,Fail,Flag,False,121.5,1726,Fail
5_original_demo,1,llm_blind,2,Fail,Flag,False,70.9,1726,Fail
5_original_demo,1,llm_blind,3,Fail,Flag,False,81.6,1726,Fail
5_original_demo,1,llm_hints,1,Fail,Fail,True,78.0,2070,Fail
5_original_demo,1,llm_hints,2,Fail,Fail,True,90.1,2070,Fail
5_original_demo,1,llm_hints,3,Fail,Flag,False,95.8,2070,Fail
5_original_demo,2,rules,0,Flag,Flag,True,0,,Flag
5_original_demo,2,llm_blind,1,Flag,Pass,False,24.8,476,Flag
5_original_demo,2,llm_blind,2,Flag,Pass,False,20.2,476,Flag
5_original_demo,2,llm_blind,3,Flag,Flag,True,45.1,476,Flag
